kalimat,kelas
Bermodal awal sekitar Rp 150.000.000 00 yang dipinjam dari Bank Exim  mereka memproduksi sepatu anak-anak untuk ekspor.,other
Keberuntungan berpihak padanya  karena perusahaan tersebut langsung mendapat pesanan 160 ribu pasang sepatu dari Italia.,other
Akan tetapi karena perbedaan visi tentang ekspansi usaha  Chairu Tanjungl memilih keluar dan mendirikan usaha sendiri.,other
Chaerul Tanjung menamakan perusahaan tersebut dengan Para Group.,other
Perusahaan konglomerasi (perusahaan yang punya beragam bisnis dan memungkinkan tidak ada kaitan antara satu sama lain) ini mempunyai Para Inti Holdindo sebagai father holding company  yang membawahkan beberapa sub-holding  yakni Para Global Investindo (bisnis keuangan)  Para Inti Investindo (media dan investasi)  dan Para Inti Propertindo (properti).,other
Kehebatannya dalam membangun jaringan dan sebagai pengusaha  membuat bisnis yang ia kelola semakin berkembang.,other
Chairul Tanjung mereposisikan dirinya ke tiga bisnis inti  yaitu; keuangan  properti  dan multimedia.,nama
Chairul Tanjung memiliki sejumlah perusahaan di bidang finansial  antara lain Asuransi Umum Mega  Asuransi Jiwa Mega Life  Para Multi Finance  Bank Mega  Mega Capital Indonesia  Bank Mega Syariah  dan Mega Finance.,nama
Perusahaan tersebut membawahi Para Bandung Propertindo  Para Bali Propertindo  Batam Indah Investindo  dan Mega Indah Propertindo.,other
Para Group memiliki Bandung Supermall.,other
Mal seluas 3 hektar ini menghabiskan dana Rp 99 miliar.,other
Para Group meluncurkan Bandung Supermall sebagai Central Business District pada tahun 1999.,other
Di bidang investasi  pada awal 2010 Para Group melalui anak perusahaannya  Trans Corp membeli sebagian besar saham Carefour Indonesia  yakni sejumlah 40 persen.,other
MoU (memorandum of understanding) pembelian saham Carrefour ini ditandatangani pada tanggal 12 Maret 2010 di Perancis.,other
Di bidang penyiaran dan multimedia  Para Group memiliki Trans TV  Trans7  Mahagagaya Perdana  Trans Fashion  Trans Lifestyle  dan Trans Studio.,other
Chairul Tanjung meresmikan perubahan Para Grup menjadi CT Corp pada tanggal 1 Desember 2011.,nama
CT Corp terdiri dari tiga perusahaan sub holding: Mega Corp  Trans Corp  dan CT Global Resources yang meliputi layanan finansial  media  ritel  gaya hidup  hiburan  dan sumber daya alam.,other
Baca juga: .,other
Chairul Tanjung merupakan seorang pengusaha sukses dalam berbisnis ia memiliki beberapa cara agar bisnis yang ia kelola menjadi lebih baik dan tentunya sukses.,nama
Chairul Tanjung menyatakan bahwa dalam membangun bisnis  mengembangkan jaringan adalah hal yang penting.,nama
Selain itu memiliki rekanan yang baik sangat diperlukan.,other
Membangun relasi pun bukan hanya kepada perusahaan yang sudah ternama  tetapi juga pada yang belum terkenal sekalipun.,other
Baginya  pertemanan yang baik akan membantu proses berkembangnya bisnis yang dikerjakan.,other
Ketika bisnis pada kondisi tidak bagus maka jejaring bisa diandalkan.,other
Dalam hal investasi  Chairul Tanjung memiliki idealisme bahwa perusahaan lokalpun bisa menjadi perusahaan yang bisa bersinergi dengan perusahaan-perusahaan multinasional.,nama
Ia tidak menutup diri untuk bekerja sama dengan perusahaan multinasional dari luar negeri.,other
Menurutnya modal memang penting dalam membangun dan mengembangkan bisnis.,other
Namun kemauan dan kerja keras  merupakan hal paling pokok yang harus dimiliki seseorang yang ingin sukses.,other
Baginya mendapatkan mitra kerja yang handal adalah segalanya.,other
Dimana membangun kepercayaan sama halnya dengan membangun integritas.,other
Dalam bisnis  Chairul menyatakan bahwa generasi muda sudah seharusnya sabar  dan mau menapaki tangga usaha satu persatu.,nama
Menurutnya membangun sebuah bisnis tidak seperti membalikkan telapak tangan.,other
Dibutuhkan sebuah kesabaran  dan tak pernah menyerah.,other
Jangan sampai banyak yang mengambil jalan seketika  karena dalam dunia usaha kesabaran adalah salah satu kunci utama dalam mencuri hati pasar.,other
Baca juga: .,
Pada tanggal 16 Mei 2014  Presiden Susilo Bambang Yudhoyono menunjuk Ketua Komite Ekonomi Nasional (KEN)  Chairul Tanjung sebagai Menko Perekonomian.,other
Ia menggantikan Hatta Rajasa yang telah resmi mengundurkan diri karena maju menjadi calon wapres Prabowo Subianto dalam pilpres 2014 dengan dukungan dari Partai Gerindra  PAN  PKS  Golkar dan PPP.,other
Pelantikan Chairul Tanjung dilakukan oleh Presiden Susilo Bambang Yudhoyono di Istana Negara  Senin  19 Mei 2014 berdasarkan Keputusan Presiden Nomor 41 Tahun 2014.,nama
Pada tanggal 27 Oktober 2014 Chairul Tanjung digantikan oleh Sofyan Djalil sebagai Menko Perekonomian.,other
Pada tanggal 18 April 2015  Chairul Tanjung dikukuhkan sebagai guru besar bidang ilmu kewirausahaan Universitas Airlangga (Unair) Surabaya.,nama
Pengukuhan tersebut dilakukan di ruang Garuda Mukti  Gedung Rektorat  kampus C Unair.,other
Chairul Tanjung juga mendapatkan penghargaan dari Majelis Ulama Indonesia (MUI) Award 2015.,nama
Informasi Biografi di atas ini kami sadur dari berbagai sumber yang dapat dipercaya  namun kami tidak menjamin akan kebenarannya.,other
Jika ada kesalahan atau kekurangan dalam penulisan atau informasi yang kami sampaikan di atas  kami mohon maaf  dan berharap agar Anda bisa membetulkannya melalui kotak komentar atau bisa menghubungi kami melalui email kami.,other
Terima kasih.,other
Post under : #### Entri Populer Cloud Categories Social Media Copyright � 2018 ?,other
Biografi Bill Gates Pendiri Perusahaan Microsoft - Biografi Tokoh Dunia Lengkap.,nama
Biografi Bill Gates Pendiri Perusahaan Microsoft.,nama
Biografi Bill Gates Pendiri Perusahaan Microsoft.,nama
Biografi Bill Gates adalah seorang tokoh bisnis  investor  filantropis  penulis asal Amerika Serikat  serta mantan CEO yang saat ini menjabat sebagai ketua Microsoft  perusahaan perangkat lunak yang ia dirikan bersama Paul Allen.,other
Ia menduduki peringkat tetap di antara orang-orang terkaya di dunia dan menempati peringkat pertama sejak 1995 hingga 2009  tidak termasuk 2008 ketika ia turun ke peringkat tiga.,other
Bill Gates  gambar dari it.wikipedia.,nama
Nama Lengkap : William Henry Gates.,nama
Tempat Lahir :�Seattle  Washington.,ttl
Tanggal Lahir :�28 Oktober 1955.,ttl
Gates lahir di Seattle  Washington  dari pasangan William H. Gates  Sr. dan Mary Maxwell Gates.,other
Ia memiliki darah Inggris  Jerman  Skotlandia  dan Irlandia.,other
Keluarganya termasuk masyarakat menengah ke atas; ayahnya adalah pengacara ternama  ibunya menjabat sebagai anggota dewan direktur First Interstate BancSystem dan United Way  dan ayahnya  J. W. Maxwell  adalah presiden bank nasional.,other
Gates memiliki seorang kakak bernama Kristianne dan seorang adik bernama Libby.,other
"Ia merupakan keturunan keempat dalam keluarganya  namun dikenal sebagai William Gates III atau ""Trey"" karena ayahnya menyandang akhiran ""II"".",other
Bill seorang anak yang cerdas  tetapi dia terlalu penuh semangat dan cenderung sering mengalami kesulitan di sekolah.,other
Ketika dia berumur sebelas tahun  orang tuanya memutuskan untuk membuat perubahan pada dirinya dan mengirimnya ke Lakeside School  sebuah sekolah dasar yang bergengsi khusus bagi anak laki-laki.,pendidikan
Di Lakeside itulah pada tahun 1968 Bill Gates untuk pertama kalinya diperkenalkan dengan dunia komputer  dalam bentuk mesin teletype yang dihubungkan dengan telepon ke sebuah komputer pembagian waktu.,pendidikan
Gates tertarik dengan komputer sejak saat ia masih berusia belia.,other
Perkenalannya dengan komputer terjadi ketika ia berusia 13 tahun.,other
Saat itu  Mothers Club di sekolahnya  Lakeside School  membeli sebuah terminal Teletype Model 33 ASR dan beberapa komputer General Electric (GE) untuk para siswa.,pendidikan
Melihat komputer tersebut  Gates tertarik dan mulai mempelajarinya.,other
Ia tertarik dengan kemampuan mesin tersebut mengeksekusi kode perangkat lunak dengan sempurna dan menulis program komputer pertamanya di sini menggunakan bahasa pemrograman BASIC.,other
Dia dengan cepat menguasai BASIC  sebuah bahasa pemograman komputer  dan bersama dengan para hacker yang belajar sendiri di Lakeside  dia melewatkan waktu ber-jam-jam menulis program  melakukan permainan  dan secara umum mempelajari banyak hal tentang komputer.,other
�Dia adalah seorang eksentrik � sebagaimana salah seorang guru memberikan Gates julukan itu.,other
Gates lulus dari Lakeside School pada tahun 1973.,pendidikan
Setelah itu ia mengambil tes SAT dan mendapatkan skor yang sangat tinggi  yaitu 1590 dari 1600.,pendidikan
Dengan nilai itu  ia diterima di Harvard College di mana ia bertemu dengan Steve Ballmer yang kelak menggantikan Gates sebagai CEO Microsoft.,other
Bill Gates menempuh kuliah di Harvard University di Cambridge mulai tahun 1975.,pendidikan
Di sana ia bertemu dengan Paul Allen sewaktu sekolah bersama-sama.,other
Bersama Paul Allen  Bill Gates terus mengembangkan talentanya di bidang pemograman komputer.,other
Gates tidak punya rencana belajar tetap ketika menjadi mahasiswa di Harvard dan menghabiskan banyak waktunya dengan menggunakan komputer sekolah.,pendidikan
Gates masih berkomunikasi dengan Paul Allen  dan ia bergabung dengannya di Honeywell pada musim panas 1974.,other
Pada tahun berikutnya  MITS Altair 8800 berbasis CPU Intel 8080 diluncurkan  dan Gates dan Allen melihat peluncurannya sebagai kesempatan untuk mendirikan perusahaan perangkat lunak komputer sendiri.,other
Ia telah membicarakan keputusan ini bersama orang tuanya yang sangat mendukungnya setelah mereka melihat antusiasme Gates untuk mendirikan perusahaan.,other
Paul Allen dipekerjakan di MITS  dan Gates absen dari Harvard untuk bekerja bersama Allen di MITS di Albuquerque pada November 1975.,pendidikan
"Mereka menamai kemitraan mereka ""Micro-Soft"" dan mendirikan kantor pertamanya di Albuquerque.",other
"Satu tahun berikutnya  tanda penghubung pada namanya dihapus  dan pada 26 November 1976  nama dagang ""Microsoft"" didaftarkan di Kementerian Luar Negeri New Mexico.",other
Gates tidak pernah kembali ke Harvard untuk menyelesaikan studinya.,pendidikan
Microsoft meluncurkan versi ritel pertama Microsoft Windows pada 20 November 1985  dan pada bulan Agustus  perusahaan ini mencapai persetujuan dengan IBM untuk mengembangkan sistem operasi terpisah bernama OS/2.,other
Meski kedua perusahaan ini berhasil mengembangkan versi pertama dari sistem ini  perbedaan kreativitas merusak kerjasama ini.,other
Gates mengeluarkan memo internal pada 16 Mei 1991 yang mengumumkan bahwa kerjasama OS/2 berakhir dan Microsoft mengalihkan operasinya ke pengembangan kernel Windows NT Sejak pendirian Microsoft tahun 1975 hingga 2006  Gates mempunyai tanggung jawab besar terhadap strategi produk perusahaan.,other
Ia secara agresif memperluas jajaran produk perusahaan  dan ketika Microsoft berhasil mendominasi pasar ia mempertahankannya sekuat tenaga.,other
"Ia mendapat reputasi sebagai orang yang menjauhkan diri dari sekitarnya; pada awal 1981 seorang eksekutif industri mengeluh kepada masyarakat bahwa ""Gates terkenal karena tidak bisa dihubungi melalui telepon dan tidak membalas panggilan telepon.""",other
Pada tahun 2000  Bill gates mengundurkan diri dari jabatannya sebagai Ketua Pegawai Eksekutif dan ia memilih kembali ke profesi lamanya yang ia cintai yaitu Kepala Penelitian dan Pengembangan Perangkat Lunak di perusahaanya sendiri  Microsoft Corp. Dan pada awal tahun 2008  Bill Gates memutuskan untuk mengundurkan diri dari manajemen Microsoft dan mengkonsentrasikan diri pada kerja kedermawanan melalui yayasan sosial yang didirikannya  yaitu Bill & Melinda Gates Foundation.,other
Gambar dari id.wikipedia Gates menikahi Melinda French pada 1 Januari 1994.,nama
Mereka dikaruniai tiga orang anak: Jennifer Katharine Gates (lahir 1996)  Rory John Gates (lahir 1999)  dan Phoebe Adele Gates (lahir 2002).,other
Rumah keluarga Gates merupakan sebuah rumah bawah tanah di sisi sebuah bukit yang menghadap Lake Washington di Medina.,other
Menurut catatan publik King County  pada 2006 nilai total properti (tanah dan rumah) keluarga Gates adalah $125 juta  dan pajak properti setiap tahunnya sebesar $991.000.,other
Rumah seluas 66 000 sq ft (6 100 m2) ini memiliki kolam renang seluas 60-foot (18 m) dengan sistem musik bawah air  serta gimnasium seluas 2 500 sq ft (230 m2) dan ruang makan seluas 1 000 sq ft (93 m2).,other
Termasuk di antara akuisisi pribadi Gates adalah Codex Leicester  yaitu koleksi tulisan Leonardo da Vinci  yang dibeli Gates senilai $30 8 juta melalui pelelangan tahun 1994.,other
[49] Gates juga dikenal sebagai seorang kutu buku  dan langit-langit perpustakaan besar di rumahnya dipenuhi ukiran kutipan dari The Great Gatsby.,nama
[50] Ia juga senang bermain kartu bridge  tenis  dan golf.,other
Gates pernah menempati peringkat pertama pada daftar Forbes 400 sejak 1993 hingga 2007 dan peringkat satu pada daftar The World's Richest People Forbes sejak 1995 hingga 2007 dan 2009.,nama
"Pada 1999  kekayaan Gates pernah melewati angka $101 miliar  akibatnya media menyebutnya sebagai ""centibillionaire"".",nama
Sejak 2000  jumlah nominal sahamnya di Microsoft menurun karena jatuhnya harga saham Microsoft setelah pecahnya gelembung dot-com dan sumbangan multi-miliar dolar kepada berbagai yayasan amal.,other
Pada wawancara bulan Mei 2006  Gates berkomentar bahwa ia bukanlah orang terkaya di dunia karena ia tidak suka perhatian yang muncul akibat gelar tersebut.,other
Gates memiliki beberapa investasi di luar Microsoft yang pada 2006 menggajinya sebesar $616.667 serta bonus $350.000 sehingga totalnya mencapai $966.667.,nama
Ia mendirikan Corbis  sebuah perusahaan gambar digital  pada tahun 1989.,other
Pada tahun 2004 ia menjadi direktur Berkshire Hathaway  perusahaan investasi yang diketuai oleh sahabat lamanya  .,other
Pada Maret 2010  Bill Gates menempati peringkat kedua sebagai orang terkaya di dunia setelah dikalahkan Carlos Slim.,nama
Post under : #### Entri Populer Cloud Categories Social Media Copyright � 2018 ?,other
Biografi Albert Einstein Ilmuwan Fisika - Biografi Tokoh Dunia Lengkap.,nama 
Biografi Albert Einstein Ilmuwan Fisika.,nama 
Biografi Albert Einstein Ilmuwan Fisika.,nama 
Albert Einstein adalah seorang ilmuwan fisika teoretis yang dipandang luas sebagai ilmuwan terbesar dan sangat terkenal dalam abad ke-20.,nama 
Beliau mengemukakan teori relativitas dan juga banyak menyumbang bagi pengembangan mekanika kuantum  mekanika statistika  dan kosmologi.,other
Dia dianugerahi Penghargaan Nobel dalam Fisika atas pengabdiannya terhadap ilmu Fisika teoritis yang mengembangkan teori umum relativity pada tahun 1921.,other
Salah satu rumus yang paling terkenal dan membuatnya banyak dikenal orang adalah rumus Teori Relativitas yaitu E=mc�.,other
Nama Lengkap : Albert Einstein.,nama 
Tanggal Lahir : 14 Maret 1879.,ttl
Tempat Lahir : Ulm  Wuttemberg  Jerman.,ttl
Albert Einstein lahir di Ulm  Kerajaan Wuttemberg  Jerman pada tanggal 14 Maret 1879.,ttl
Ayah Albert Einstein bernama Hermann Einstein dan Ibunya bernama Pauline mereka berdua menikah di Stuttgart-Bad Cannstatt.,other
Keluarga Einstein termasuk keluarga keturunan Yahudi.,other
Ayahnya hanya bekerja sebagai penjaja ranjang bulu yang kemudian beralih pekerjaan menjadi ahli elektrokimia.,other
Keluarga yang dimiliki oleh Einstein sangatlah konsen terhadap pendidikan anaknya terutama dibidang sains dan musik.,other
Keluarga Einstein menyekolahkannya di sekolah Katholik dan atas keinginan dari ibunya dia diberi pelajaran bermain musik karena keluarga dari Einstein suka dengan musik.,pendidikan
"Saat berusia 5 tahun  ayahnya menunjukkan sebuah benda kompas kantung kepada Einstein  dan Einstein melihat bahwa sesuatu di ruang yang ""kosong"" ini bereaksi terhadap jarum di dalam kompas tersebut  dia menjelaskan pengalamannya ini sebagai salah satu saat yang paling menyenangkan dalam hidupnya  dan dari situlah perkenalan Albert Einstein terhadap sains terus ditingkatkan.",other
Albert Einstein memiliki sifat pendiam dan tidak suka bermain dengan teman-temannya.,nama 
Selain bersekolah dan menggeluti sains  kegiatan Einstein hanyalah bermain musik bersama dengan ibunya memainkan karya-karya Mozart dan Bethoveen.,pendidikan
Albert Einstein dianggap sebagai pelajar yang lambat  kemungkinan disebabkan oleh dyslexia  sifat pemalu  atau karena struktur yang jarang dan tidak biasa pada otaknya (diteliti setelah kematiannya).,nama 
Dia kemudian diberikan penghargaan untuk teori relativitasnya karena kelambatannya ini  dan berkata dengan berpikir dalam tentang ruang dan waktu dari anak-anak lainnya  dia mampu mengembangkan kepandaian yang lebih berkembang.,other
Pendapat lainnya  berkembang belakangan ini  tentang perkembangan mentalnya adalah dia menderita Sindrom Asperger  sebuah kondisi yang berhubungan dengan autisme.,other
Albert Einstein mengalami kesulitan saat mengikuti mata pelajaran di sekolahnya terutama dalam bidang berhitung dan ilmu alam.,pendidikan
Albert Einstein dianggap murid yang terbelakang di sekolahnya.,nama 
Hal ini dikarenakan kepribadiannya yang introvet dan pemalu  namun setelah diteliti otaknya saat ia meninggal dunia  hal ini dikarenakan struktur otaknya yang tidak biasa dari umumnya orang.,other
Einstein memiliki kecenderungan berfikir dengan olah pikirnya sendiri sedangkan pelajaran sekolah menyuruh murid untuk berfikir dengan cara orang lain yaitu gurunya  hal inilah yang membuat Einstein kesulitan mengikuti alur belajar di sekolah.,other
Dua pamannya pada saat itu ikut aktif membantu mengembangkan ketertarikannya terhadap dunia intelek pada masa akhir kanak-kanaknya dan awal remaja dengan memberikan usulan dan buku tentang sains dan matematika.,other
Saat Einstein berusia 15 tahun  yaitu tahun 1984  keadaan ekonomi keluarganya mengalami kemunduran karena usaha ayahnya dibidang elektronika mengalami kebangkrutan.,nama 
Hal tersebut membuat Einstein dan keluarganya pindah ke Pavia  Milan-Italia.,nama 
Einstein tetap tinggal untuk menyelesaikan sekolahnya  dan menyelesaikan satu semester sebelum bergabung kembali dengan keluarganya di Pavia.,pendidikan
Albert Einstein masuk ke Eidgenössische Technische Hochschule (Institut Teknologi Swiss Federal  di Zurich).,pendidikan
namun ia gagal saat tes.,other
Pada tahun berikutnya dia dikirim oleh keluarganya ke Aarau  Swiss  untuk menyelesaikan sekolah menengahnya  di mana dia menerima diploma pada tahun 1896  Einstein tercatat beberapa kali mendaftar di Eidgenössische Technische Hochschule.,pendidikan
Pada tahun 1896 saat Einstein berumur 17 tahun  ia memutuskan untuk melepas kewarganegaraan dan memilih untuk tidak punya warga negara karena kecewa dengan pemerintahan Jerman yang anti Yahudi pada saat itu.,other
Ini juga didukung bahwa sepeninggal Einstein dari Jerman  Nazi yang terkenal anti Yahudi menguasai Jerman dan memusuhi orang Yahudi.,other
Baca juga : .,other
Saat menimba ilmu di Eidgenössische Technische Hochschule (Institut Teknologi Swiss Federal  di Zurich)  Albert Einstein berkenalan dengan seorang wanita berkebangsaan Serbia yang juga merupakan teman kelasnya yang ahli matematikawan yang bernama Mileva Maric.,pendidikan
Selama masa 1901  Einstein mendiskusikan ketertarikannya terhadap dunia sains kepada teman-teman dekatnya  termasuk Mileva.,other
Einstein jatuh cinta kepada Mileva  dan akhirnya mereka berdua menjalin hubungan asmara.,other
Mereka memiliki seorang putri bernama Lieserl  lahir pada bulan Januari 1902  namun Lieserl Einstein pada saat itu dianggap tidak sah karena orang tuanya tidak menikah.,nama 
Akhirnya Einstein dan Mileva menikah pada �6 Januari 1903.,nama 
Dari pernikahan tersebut mereka dianugerahi anak lagi yang bernama Hans Albert Einstein yang lahir pada tanggal 14 Mei 1904.,other
Setelah Einstein lulus dari Eidgenössische Technische Hochschule (Institut Teknologi Swiss Federal  di Zurich)  ia memutuskan untuk mencari pekerjaan yang berkenaan dengan pengajaran atau penelitian di almamaternya namun selalu ditolak dikarenakan sifat Einstein yang terburu-buru dalam bekerja.,pendidikan
Saat masih kuliah Eistein sering membuat professor pembimbingnya marah karena sifatnya tersebut sehingga ini mempunyai penilaian yang buruk bagi dirinya.,other
Ayah dari seorang temannya di kelas menolong Einstein kemudian dipromosikan untuk bekerja di Kantor Paten Swiss sebagai asisten teknik pemeriksa pada tahun 1902.,other
Einstein bertugas sebagai menilai aplikasi paten penemu untuk alat yang memerlukan pengetahuan fisika.,other
"Ia juga belajar menyadari pentingnya aplikasi dibanding dengan penjelasan yang buruk  dan belajar dari direktur bagaimana ""menjelaskan dirinya secara benar"".",other
Dia kadang-kadang membetulkan desain mereka dan juga mengevaluasi kepraktisan hasil kerja mereka.,other
Einstein ditempatkan untuk menilai aplikasi paten penemu untuk alat-alat yang membutuhkan pengetahuan di bidang fisika.,nama 
Einstein juga membantu sang calon pemilik hak paten untuk memperbaiki desain dan cara kerja alat yang diajukan agar dapat bekerja lebih efektif dan efisien.,nama 
Pada 1904  posisi Einstein di Kantor Paten Swiss menjadi tetap.,other
"Dia mendapatkan gelar doktor setelah menyerahkan thesis ""Eine neue Bestimmung der Moleküldimensionen"" (On a new determination of molecular dimensions) pada tahun 1905 dari Universitas Zurich.",pendidikan
Pada tahun yang sama ia menulis empat artikel yang memberikan dasar fisika modern  tanpa banyak sastra sains yang dapat ia tunjuk atau banyak kolega dalam sains yang dapat ia diskusikan tentang teorinya.,other
Banyak fisikawan setuju bahwa ketiga thesis itu (tentang gerak Brownian)  efek fotolistrik  dan relativitas khusus) pantas mendapat Penghargaan Nobel.,other
Dari artikelnya tersebut Einstein mendapat hadiah Nobel untuk thesisnya tentang Efek Fotolistrik  namun begitu banyak ilmuwan yang menganggap bahwa tidak hanya thesis tentang Efek Foto Listrik saja yang berhak mendapat Penghargaan Nobel akan tetapi thesisnya yang lain juga seharusnya pantas mendapat hadiah Nobel.,other
Artikel-artikelnya ini yang kemudian menjadi dasar bagi fisika modern.,other
Einstein lebih tahu banyak tentang relativitas  tetapi juga karena efek fotoelektrik adalah sebuah fenomena kuantum  dan Einstein menjadi terbebas dari jalan dalam teori kuantum.,nama 
Yang membuat thesisnya luar biasa adalah  dalam setiap kasus  Einstein dengan yakin mengambil ide dari teori fisika ke konsekuensi logis dan berhasil menjelaskan hasil eksperimen yang membingungkan para ilmuwan selama beberapa dekade.,other
Karena para ilmuwan beranggapan Einstein telah berhasil menjembatani antara teori dengan prakteknya serta Einstein bisa menjelaskan hasil eksperimen yang sebelumnya sangat membingungkan ilmuwan selama tahun sebelumnya.,other
Albert Einstein kemudian menyerahkan thesis-thesisnya ke �Annalen der Physik� yaitu organisasi Persatuan Fisika Murni dan Aplikasi.,nama 
"Di artikel pertamanya pada tahun 1905 bernama ""On the Motion-Required by the Molecular Kinetic Theory of Heat-of Small Particles Suspended in a Stationary Liquid""  mencakup penelitian tentang gerakan Brownian.",other
Menggunakan teori kinetik cairan yang pada saat itu kontroversial  dia menetapkan bahwa fenomena  yang masih kurang penjelasan yang memuaskan setelah beberapa dekade setelah ia pertama kali diamati  memberikan bukti empirik (atas dasar pengamatan dan eksperimen) kenyataan pada atom.,other
Dan juga meminjamkan keyakinan pada mekanika statistika  yang pada saat itu juga kontroversial.,other
Pada Teori Relativitas Khusus ini menerangkan bahwa jika suatu benda yang bermassa m diberi kecepatan cahaya pangkat dua maka akan dapat menghasilkan energi yang begitu besar.,other
Dengan kata lain 1 gram massa dapat menghasilkan energi untuk memasok kebutuhan listrik sebesar 2700000 watt selama setahun penuh.,other
Einstein menulis tentang Teori Relativitas Khusus yang dikemudian hari menjadi terkenal dengan rumusnya E=mc�.,nama 
Dimana E adalah Potensi energi yang dihasilkan.,other
M adalah massa suatu benda dan C adalah kecepatan cahaya di ruang hampa (c>>300 ribu kilo meter per detik).,other
Paper Einstein tentang Teori Relativitas Khusus ini kemudian dimuat di Annalen der Physik dengan judul Zur Elektrodynamik bewegter Kerper (Elektrodinamika benda bergerak).,other
Dan dari situlah nama Albert Einstein kemudian mulai terkenal.,nama 
Einstein banyak menyerahkan paper-paper nya pada �Annalen der Physik� yang kemudian di tahun 1995 bertepatan dengan perayaan 100 tahun Albert Einstein  seluruh papernya di tahun 1905 dipublikasikan ke publik.,other
Dan tahun 1995 diperingati sebagai Tahun Fisika.,other
Pada 17 April 1955  Albert Einstein mengalami pendarahan internal yang disebabkan oleh pecahnya suatu aneurisma aorta perut  yang sebelumnya telah dilakukan pembedahan oleh Dr Rudolph Nissen pada tahun 1948.,other
Saat ia mengambil konsep pidato  ia sedang mempersiapkan untuk penampilan televisi memperingati ulang tahun Negara Israel ketujuh dengan kondisi di rumah sakit  tapi dia tidak hidup cukup lama untuk menyelesaikannya.,other
"Einstein menolak operasi  mengatakan: ""Saya ingin pergi ketika saya ingin.",nama 
Hambar untuk memperpanjang hidup artifisial.,other
"Saya telah melakukan bagian saya  sekarang saatnya untuk pergi  aku akan melakukannya dengan elegan..."" .",other
Dia meninggal di Rumah Sakit Princeton  pagi  pada saat �berusia 76  setelah terus bekerja sampai mendekati akhir.,other
Selama autopsi  ahli patologi dari Rumah Sakit Princeton  Thomas Stoltz Harvey  menghapus otak Einstein untuk pengawetan tanpa izin dari keluarganya  dengan harapan bahwa ilmu saraf masa depan akan mampu menemukan apa yang membuat Einstein begitu cerdas.,other
Einstein tetap dikremasi dan abunya tersebar di sebuah lokasi yang dirahasiakan.,nama 
Post under : ### Entri Populer Cloud Categories Social Media Copyright � 2018 ?,other
Biografi Leonard Kleinrock Penemu Internet - Biografi Tokoh Dunia Lengkap.,nama
Biografi Leonard Kleinrock Penemu Internet.,nama
Biografi Leonard Kleinrock Penemu Internet.,nama
Loenard Kleinrock adalah seorang ilmuwan yang terkenal di dunia  penemuannya sangat bermanfaat bagi kehidupan manusia saat ini.,nama
Penemuannya adalah sebuah teknologi Internet.,other
Penemuannya tersebut mempermudah aktivitas manusia dalam berkomunikasi dan mencari informasi  semua itu sangat benar-benar bermanfaat dan dibutuhkan bagi kehidupan manusia pada saat ini.,other
Leonard Kleinrock lahir pada tanggal 13 Juni 1934 di kota New York  Amerika Serikat.,ttl
Ia memiliki ketertarikan yang cukup besar dalam dunia teknologi.,other
Ketertarikannya tersebut membawanya masuk ke salah satu sekolah yang ada di Amerika Serikat  yang fokus dalam dunia teknologi  yaitu Bronx High School of Science pada tahun 1951.,pendidikan
Di sekolah tersebut  Leonard Kleinrock mengasah bakatnya dalam dalam bidang teknologi  tidak jarang ia sering melakukan percobaan-percobaan pada jaringan komputer yang terdapat pada sekolahnya tersebut hanya untuk mengasah bakatnya.,other
Lulus dari Bronx High School of Science  Leonard Klienrock melanjutkan studinya di City College of New York  ia mengambil jurusan Teknik Elektro dan Ilmu Komputer.,pendidikan
Pada tahun 1957  ia menerima gelar Sarjana Teknik Elektro dan Ilmu Komputer dari City College of New York.,pendidikan
Pada tahun 1959 dan tahun 1961  Leonard Klienrock membuat sebuah makalah yang berisi merupakan pertukaran paket dalam kaitannya dengan paket teknologi.,other
Setelah lulus dari City College of New York  Leonard Klienrock melanjutkan studinya ke jenjang yang lebih tinggi  yaitu program master.,pendidikan
Ia masuk ke Institut Teknologi Massachusetts dengan mengambil bidang yang sama dengan sebelumnya  yaitu Teknik Elektro dan Ilmu Komputer.,pendidikan
Pada tahun 1963  ia berhasil lulus dan menerima gelar master dan doktor (Ph.D.).,pendidikan
Baca juga: .,other
Setelah menyelesaikan kuliahnya   Leonard Kleinrock bergabung dalam jajaran pengajar di Universitas California Los Angeles (UCLA).,pendidikan
Di sana ia ketertarikannya pada sistem jaringan komputer semakin terasa.,other
Di sana ia menjadi profesor ilmu komputer pada jurusan Teknik dan Sains Terapan.,other
Dari tempat inilah penemuan terbesarnya Internet lahir.,other
Leonard Kleinrock sudah memulai menemukan dan mengembangkan internet pada saat ia masih kuliah.,other
Tepatnya saat ia sedang menjalani program masternya di Institut Teknologi Massachusetts.,pendidikan
Ia menulisnya dalam sebuah makalah tentang ilmu jaringan komputer yang pada akhirnya makalah tersebut menjadi konsep dasar dari internet.,other
Dalam makalah tersebut ia memaparkan tentang kemungkinan adanya pertukaran paker data antara satu perangkat komputer ke komputer yang lain melalui sebuah jaringan besar yang bersifat global.,other
Pada saat itu ia masih belum menemukan tekniknya  tapi saat ia masuk ke UCLA barulah ia berhasil menemukan teknik pemecahan paket data digital yang bisa dikirimkan lewat sebuah jaringan komputer.,other
